Kind,Name,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountDeclClass,CountDeclFile,CountLineCode
File,"AuditEventsMvcEndpointTests.java",,0.19,,9,9,,,2,,108
File,"AuditListener.java",,1.21,,2,2,,,1,,19
File,"AuditListenerTests.java",,1.11,,1,1,,,1,,18
File,"AuthenticationAuditListener.java",,0.43,,5,6,,,2,,70
File,"AuthenticationAuditListenerTests.java",,0.23,,7,7,,,1,,84
File,"AuthenticationManagerConfiguration.java",,0.63,,9,10,,,4,,124
File,"Author.java",,0.79,,10,10,,,1,,66
File,"AuthoritiesExtractor.java",,3.86,,1,1,,,1,,7
File,"AuthorizationAuditListener.java",,0.63,,3,3,,,1,,38
File,"AuthorizationAuditListenerTests.java",,0.25,,5,5,,,1,,71
File,"AuthorizationExceptionMatcher.java",,1.05,,2,3,,,2,,19
File,"AuthorizationServerProperties.java",,1.35,,6,6,,,1,,26
File,"AutoConfigurationExcludeFilter.java",,0.57,,5,5,,,1,,37
File,"AutoConfigurationExcludeFilterTests.java",,0.43,,3,3,,,3,,46
File,"AutoConfigurationImportEvent.java",,1.36,,3,3,,,1,,22
File,"AutoConfigurationImportFilter.java",,4.89,,1,1,,,1,,9
File,"AutoConfigurationImportListener.java",,4.11,,1,1,,,1,,9
File,"AutoConfigurationImportSelector.java",,0.23,,28,28,,,1,,277
File,"AutoConfigurationImportSelectorTests.java",,0.09,,26,26,,,14,,257
File,"AutoConfigurationImportedCondition.java",,1.00,,2,3,,,1,,26
File,"AutoConfigurationMetadata.java",,6.00,,7,7,,,1,,11
File,"AutoConfigurationMetadataLoader.java",,0.30,,9,12,,,2,,77
File,"AutoConfigurationMetadataLoaderTests.java",,0.34,,13,13,,,1,,59
File,"AutoConfigurationPackage.java",,1.53,,0,0,,,1,,15
File,"AutoConfigurationPackages.java",,0.41,,9,13,,,4,,136
File,"AutoConfigurationPackagesTests.java",,0.47,,3,3,,,4,,51
